,Location,X,Y
56,"30th Cross, 8th Main, Near Jain Temple, 4th Block, Jayanagar, Bangalore",12.9281203,77.5806993
57,"10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, Bangalore",12.9271333,77.5592002
58,"186, 11th Main, 4th Cross, Hanumanthnagar, Banashankari, Bangalore",12.9438139,77.5576631
59,"59/3, Ground & First Floor, West Anjaneya Temple Road, Ward 49, Gandhi Bazaar, Basavanagudi, Bangalore",12.9467448,77.5697469
60,"476, 2nd Floor, 9th Cross, Avalahalli BDA Park, BSK 3rd Stage, Banashankari, Bangalore",12.9432502,77.5392703
61,"100 Feet Road, 3rd Stage, Banashankari, Bangalore",12.9246402,77.549253
62,"Shop 33 & 30, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",12.9261432,77.5623101
63,"49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, Bangalore",12.938966,77.5686346
64,"16th Main Road, Near PESIT College, Banashankari, Bangalore",12.9414223,77.5514455
65,"1430, 22nd Cross, Next To Coffee Day, Near BDA Complex, Banashankari, Bangalore",12.9257628,77.5618772
66,"727, 23rd Cross, KR Road, 2nd Stage, Banashankari, Bangalore",12.9235176,77.5708448
67,"36, 2nd Main, RPC Layout, Vijay Nagar, Bangalore",12.9674961,77.5357049
68,"2477, 24th Cross Road, Siddanna Layout, Stage 2, Banashankari, Bangalore",12.9239052,77.5631
69,"1142, 22nd Cross, 30th Main, Banashankari, Bangalore",12.9263413,77.5596168
70,"512, 2nd Cross, 3rd Stage, Banashankari, Bangalore",12.9250594,77.5438794
71,"45/12, 4th Cross, 10th Main, Gururaja Layout, Banashankari, Bangalore",12.9215587,77.5492085
72,"52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, Bangalore",12.9261473,77.5823172
73,"38, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",12.92567,77.5598913
74,"1/34, 3rd Cross Road, Kathriguppe IV Phase, Banashankari 3rd Stage, Banashankari, Bangalore",12.9232079,77.5488626
75,"480/A, 50 feet road, Nagendra block, Near PES College, Nagendra block, Banashankari, Bangalore",12.9417289,77.5505363
76,"941, 21st Main Road, BSK 2nd Stage , Near BDA Complex, Banashankari, Bangalore",12.9261406,77.564143
77,"304, Opposite Apollo Public School, 100 Feet Ring Road, 4th Phase, 7th Block, Banashankari 3rd Stage, Bangalore,",12.9231115,77.5554541
78,"3828, Near Deve Gowda Petrol Bunk, 30th Cross, 3rd Stage, Banashankari, Bangalore",12.9222004,77.5587195
79,"50 Feet Road, Hanumanthanagar, Banashankari, Bangalore",28.5485253,77.2749852
80,"34, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",12.9255935,77.5619476
81,"24/1, 23rd Cross, 6th Main Road, Opposite Kaveri Grameena Bank, 2nd Stage, Banashankari, Bangalore",12.9506286,77.5057465
82,"96, Opposite Jain Collage, Basavanagudi, Bangalore",12.9431071,77.5644639
83,"2465, 3rd Floor, Opposite BDA Complex, 24th Cross, Banashankari, Bangalore",12.9241497,77.5628674
84,"295/A, 7th Main road, 7th Block, 3rd Stage, Banashankari, Bangalore",12.9370265,77.5525029
85,"1189, 10th Cross, Shankarnag Circle, 1st Stage, 2nd Block, Banashankari, Bangalore",12.9365506,77.5580129
86,"415, 1st C Cross, Banashankari 3rd Stage, 5th Block, Bangalore, Banashankari, Bangalore",12.920948,77.5482985
87,"27, 80 Feet Road, Srinivasnagar, Banashankari, Bangalore",12.9338456,77.5563039
88,"Number 42, 4th Block, 6th Stage Banashankari, Vrishabhvachi Nagar, Opposite RV College of Architecture, Bangalore",12.878307,77.510641
89,"2, 3rd Cross, Near Pesit College, Banashankari, Bangalore",12.9344948,77.5323277
90,"8, Katriguppe Main Road, Vivekananda Nagar, 3rd Stage, Banashankari, Bangalore",12.933267,77.5552256
91,"7/1, Behind BMS College Hostel, 80 Feet Road, 1st Stage, Srinivas Nagar Bank Colony, Banashankari, Bangalore",12.9365634,77.5489175
92,"3967, VHBC Society, Girinagar Phase 4, Hosekerehalli Mani Road, Banashankari 3rd Stage, Banashankari, Bangalore",12.9260178,77.5213148
93,"27, 27th Cross, 2nd Stage, Banashankari, Bangalore",12.9262717,77.5692669
94,"4001/4002, Annapoorneshwari Plaza, Near Seetha Circle, Hosakerehalli Cross, Banashankari, Bangalore",12.9351581,77.543753
95,"89, Near PES College, 22nd Main Road, Girinagar, 1st Stage, Banashankari, Bangalore",12.940184,77.5511633
96,"10th Main, Hanumanthanagar, 50 Feet Road, Phase 1, Banashankari, Bangalore",12.940328,77.5544575
97,"68, Opposite ICICI Bank, 21st Main Road, 2nd Stage, Banashankari, Bangalore",12.9261437,77.5625151
98,"590, 24th Cross, 2nd Stage, Banashankari, Bangalore",12.9241841,77.5651201
99,"Padmanabhanagar, Banashankari, Bangalore",12.916609,77.5516326
100,"21, 80 Feet Road, 3rd Phase, 4th Block, 3rd Stage, Banashankari, Bangalore",12.9340315,77.5442384
101,"1, Near BDA Complex, 24th Main, 2nd Stage, Banashankari, Bangalore",28.5485253,77.2749852
102,"No.37, Shree Complex, Next to Dominoes Pizza, Bull temple Road, Basavanagudi, Bangalore",12.9477386,77.5655479
103,"155, 43rd Cross Road, 8th Block, Jayanagar, Bangalore",12.9184925,77.5771576
104,"No.1585, 22nd Main,Banashankari 1st Stage",12.9388266,77.5511667
105,"39/1, R.V Road, Opposite Vijaya College, Basavanagudi, Bangalore",12.940736,77.5784213
106,"608, 21st Cross, Kumaraswamy Layout, Bangalore",12.9075401,77.5612021
107,"100 Feet Ring Road, 2nd Phase, Banashankari, Bangalore",12.9316457,77.539829
108,"1, 80 Feet Road, 6th Block, 3rd Stage, Banashankari, Bangalore",12.933179,77.5432826
109,"1A/29 , Shop 2 , 27th Cross, Jayanagar, Bangalore",12.9309404,77.581529
110,"153, Satellite Bus Stand, Byataranyapura, Mysore Road, Bangalore",12.949599,77.5324747
111,"Dayanand Sagar College Road, Kumaraswamy Layout, Bangalore",12.9094106,77.5616034
112,"Basement, MR Complex, Near Police Station, 25th Cross, 14th Main, Kumaraswamy Layout, Bangalore",12.9051954,77.5606649
113,"28/29, 9th Main Road, 3rd Block, Jayanagar, Bangalore",12.9324313,77.5815346
114,"11/2, Ground Floor, Khazi Street, Basavanagudi, Bangalore",12.9406386,77.5770573
115,"4th Cross Road, Byatarayanapura, Srinagar, Banashankari, Bangalore",12.9493007,77.5400614
116,"28-29, 3rd Block, 9th Main Road, Jayanagar, Bangalore",12.9330094,77.5822023
117,"92/1, Gandhi Bazaar Main Road, Basavangudi. Next to Vodafone Showroom, Basavanagudi, Bangalore",28.5485253,77.2749852
118,"615/1, Ground Floor, Janardhan Mansion, 10th C Main, 32nd D Cross, 4th Block, Jayanagar, Bangalore",12.9272892,77.5829898
119,"79, Vanivilas Road, Next to KFC, Basavanagudi, Bangalore",12.948037,77.5666713
120,"805, Ground Floor, 35C Cross, 9th Main, 4th Block, Jayanagar, Bangalore",12.924475,77.5816963
121,"1304, Kathriguppe Main Road, Ashok Nagar, NR Colony, Basavanagudi, Bangalore",12.938325,77.5610263
122,"1761, Near Swathi Nursing Home, 14th Main Road, 1st Stage, Kumaraswamy Layout, Bangalore",12.9073189,77.5617719
123,"374/B, 2nd Phase, BSK 3rd Stage, Srinivasa Nagar, Banashankari, Bangalore",12.9383543,77.5522839
124,"582,2nd Main, 6th Block 2nd Phase Banshankari 3rd Stage Bangalore-560085",12.9285641,77.5641562
125,"3-94/1, 80 Feet Road, Near New Big Bazaar, Kathriguppe, Banashankari, Bangalore",12.9264752,77.548707
126,"9/1, Behind BMS College Hostel, Hanumantha Nagar, Banashankari, Bangalore",12.9402579,77.5627503
127,"24, Next to Roti Ghar, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",12.9448389,77.5696302
128,"Rashtriya Vidyalaya Road, Basavanagudi, Bangalore",12.9416425,77.5779468
129,"855/A, 5th A Cross,10th Main Road, Srinivasanagar, Towords Maruthi Circle, Banashankari, Bangalore",12.939082,77.5553863
130,"11/2, Old Market, V V Puram, Basavanagudi, Bangalore",12.9514066,77.5751432
131,"1779, 14th Main, Kumaraswamy Layout, Bangalore",12.9058653,77.5608278
132,"224/Y, 100 Feet Ring Road, 7th Block, 3rd Stage, Banashankari, Bangalore",12.9236871,77.5517825
